Particle # ,      x (cm)      ,      y (cm)      ,      z (cm)      ,  n_H (c^m-3)  ,   T_gas (K)   ,  T_dust (K)   , chi (Draine)  , Type (I|P|D)
         1 , +2.985702647E+19 , -6.493771646E+18 , -4.120629400E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
         2 , -2.680671066E+19 , +3.277538945E+18 , +7.428602384E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
         3 , -1.082027746E+18 , +1.548212547E+18 , +1.280176081E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
         4 , +1.193962247E+19 , +1.323134577E+19 , +1.217538058E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
         5 , -2.733730837E+19 , +9.748562976E+18 , +6.748222799E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
         6 , -3.950386391E+18 , -5.499115789E+18 , +2.602554976E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
         7 , +1.537895892E+19 , -1.964932083E+19 , +9.445410572E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
         8 , +1.807933420E+19 , -3.621076698E+18 , +1.334297633E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
         9 , -2.350691781E+19 , +6.528926772E+18 , -8.995845848E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        10 , +4.390410200E+17 , -1.280842279E+19 , +1.704259896E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        11 , +1.875308884E+19 , -1.411071145E+19 , -1.143766294E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        12 , -1.461918176E+19 , -1.245658148E+19 , +1.875069126E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        13 , -7.659249077E+16 , +1.792099882E+18 , -3.058314815E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
