Particle #,x (cm),y (cm),z (cm),n_H (cm-3),T_gas (K),T_dust (K),chi (Draine),Type (I|P|D)
1,-1.9563272E+18,-1.1130545E+19,-1.1130545E+19,1.0000000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
2,-1.9561682E+18,-1.1130545E+19,-1.1130545E+19,1.0005000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
3,-1.9560093E+18,-1.1130545E+19,-1.1130545E+19,1.0010000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
4,-1.9558505E+18,-1.1130545E+19,-1.1130545E+19,1.0015000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
5,-1.9556918E+18,-1.1130545E+19,-1.1130545E+19,1.0020000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
6,-1.9555331E+18,-1.1130545E+19,-1.1130545E+19,1.0025000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
7,-1.9553746E+18,-1.1130545E+19,-1.1130545E+19,1.0030000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
8,-1.9552161E+18,-1.1130545E+19,-1.1130545E+19,1.0035000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
9,-1.9550577E+18,-1.1130545E+19,-1.1130545E+19,1.0040000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
10,-1.9548993E+18,-1.1130545E+19,-1.1130545E+19,1.0045000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
11,-1.9547411E+18,-1.1130545E+19,-1.1130545E+19,1.0050000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
12,-1.9531628E+18,-1.1130545E+19,-1.1130545E+19,1.0100000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
13,-1.9515924E+18,-1.1130545E+19,-1.1130545E+19,1.0150000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
14,-1.9500296E+18,-1.1130545E+19,-1.1130545E+19,1.0200000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
15,-1.9484746E+18,-1.1130545E+19,-1.1130545E+19,1.0250000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
16,-1.9469270E+18,-1.1130545E+19,-1.1130545E+19,1.0300000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
17,-1.9453870E+18,-1.1130545E+19,-1.1130545E+19,1.0350000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
18,-1.9438544E+18,-1.1130545E+19,-1.1130545E+19,1.0400000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
19,-1.9423291E+18,-1.1130545E+19,-1.1130545E+19,1.0450000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
20,-1.9408112E+18,-1.1130545E+19,-1.1130545E+19,1.0500000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
21,-1.9260197E+18,-1.1130545E+19,-1.1130545E+19,1.1000000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
22,-1.9118857E+18,-1.1130545E+19,-1.1130545E+19,1.1500000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
23,-1.8983531E+18,-1.1130545E+19,-1.1130545E+19,1.2000000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
24,-1.8853729E+18,-1.1130545E+19,-1.1130545E+19,1.2500000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
